ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1775020740000,2026-04-01T05:19:00Z,candles,BTC-USDT-SWAP,1m,68400.4,68458.2,68390.7,68443.9,11957.95,119.5795,8180543.34502
1775020800000,2026-04-01T05:20:00Z,candles,BTC-USDT-SWAP,1m,68443.9,68457.7,68424.8,68424.9,5415.4,54.154,3705990.21751
1775020860000,2026-04-01T05:21:00Z,candles,BTC-USDT-SWAP,1m,68424.8,68428.4,68391.2,68411,4832.49,48.3249,3305868.60979
1775020920000,2026-04-01T05:22:00Z,candles,BTC-USDT-SWAP,1m,68411,68455,68396.2,68455,8879.53,88.7953,6075885.54697
1775020980000,2026-04-01T05:23:00Z,candles,BTC-USDT-SWAP,1m,68454.9,68517.6,68435.7,68468.6,9826.03,98.2603,6728638.66874
1775021040000,2026-04-01T05:24:00Z,candles,BTC-USDT-SWAP,1m,68468.6,68530,68468.6,68498.3,14675.17,146.7517,10053077.01207
1775021100000,2026-04-01T05:25:00Z,candles,BTC-USDT-SWAP,1m,68498.3,68718.6,68498.2,68652.9,81265.06,812.6506,55786450.91803
1775021160000,2026-04-01T05:26:00Z,candles,BTC-USDT-SWAP,1m,68652.9,68739.5,68541.2,68566.9,36502.68,365.0268,25054595.23161
1775021220000,2026-04-01T05:27:00Z,candles,BTC-USDT-SWAP,1m,68567,68582.9,68526.3,68558,8801.54,88.0154,6034204.27236
1775021280000,2026-04-01T05:28:00Z,candles,BTC-USDT-SWAP,1m,68558,68572.5,68537.7,68572.5,6212.1,62.121,4258617.77306
1775021340000,2026-04-01T05:29:00Z,candles,BTC-USDT-SWAP,1m,68572.4,68580,68541.7,68555.8,5315.27,53.1527,3644344.33371
1775021400000,2026-04-01T05:30:00Z,candles,BTC-USDT-SWAP,1m,68555.8,68599,68555.8,68568.6,6376.66,63.7666,4372828.92485
1775021460000,2026-04-01T05:31:00Z,candles,BTC-USDT-SWAP,1m,68568.6,68575,68545.5,68575,4701.62,47.0162,3223292.50985
1775021520000,2026-04-01T05:32:00Z,candles,BTC-USDT-SWAP,1m,68574.9,68575,68491,68533.7,10458.29,104.5829,7166776.50649
1775021580000,2026-04-01T05:33:00Z,candles,BTC-USDT-SWAP,1m,68533.8,68574.2,68533.5,68560.1,5685.69,56.8569,3897993.68356
1775021640000,2026-04-01T05:34:00Z,candles,BTC-USDT-SWAP,1m,68560.1,68633.5,68552.4,68583.6,9404.83,94.0483,6451093.41659
1775021700000,2026-04-01T05:35:00Z,candles,BTC-USDT-SWAP,1m,68583.6,68596.1,68550,68585.4,6375.86,63.7586,4372237.60943
1775021760000,2026-04-01T05:36:00Z,candles,BTC-USDT-SWAP,1m,68585.4,68585.5,68499,68506.8,4934.66,49.3466,3381232.09312
1775021820000,2026-04-01T05:37:00Z,candles,BTC-USDT-SWAP,1m,68506.8,68520,68485,68516.9,7988.41,79.8841,5471985.77466
1775021880000,2026-04-01T05:38:00Z,candles,BTC-USDT-SWAP,1m,68517,68534.8,68474.8,68474.8,4612.85,46.1285,3159485.93793
1775021940000,2026-04-01T05:39:00Z,candles,BTC-USDT-SWAP,1m,68474.9,68497.1,68466,68480,5485.69,54.8569,3756572.88184
1775022000000,2026-04-01T05:40:00Z,candles,BTC-USDT-SWAP,1m,68479.9,68486.3,68444.7,68464.7,4712.24,47.1224,3226355.75337
1775022060000,2026-04-01T05:41:00Z,candles,BTC-USDT-SWAP,1m,68464.8,68535.7,68464.7,68519,3777.35,37.7735,2587151.36475
1775022120000,2026-04-01T05:42:00Z,candles,BTC-USDT-SWAP,1m,68518.9,68519,68493.2,68509,4078.09,40.7809,2793820.51159
1775022180000,2026-04-01T05:43:00Z,candles,BTC-USDT-SWAP,1m,68509.1,68540.4,68509,68526.9,2364.67,23.6467,1620325.62376
1775022240000,2026-04-01T05:44:00Z,candles,BTC-USDT-SWAP,1m,68526.9,68526.9,68480,68480,2942.43,29.4243,2016027.51739
1775022300000,2026-04-01T05:45:00Z,candles,BTC-USDT-SWAP,1m,68480,68499.9,68436,68455.5,12808.74,128.0874,8769492.62628
1775022360000,2026-04-01T05:46:00Z,candles,BTC-USDT-SWAP,1m,68455.5,68460,68408.1,68419.9,6116.24,61.1624,4185448.86476
1775022420000,2026-04-01T05:47:00Z,candles,BTC-USDT-SWAP,1m,68420,68444,68418.3,68420.1,4944.26,49.4426,3383356.37807
1775022480000,2026-04-01T05:48:00Z,candles,BTC-USDT-SWAP,1m,68420.2,68441.6,68413.9,68428.9,4033.44,40.3344,2760072.53073
1775022540000,2026-04-01T05:49:00Z,candles,BTC-USDT-SWAP,1m,68428.8,68450,68420,68450,2235.56,22.3556,1529899.62537
1775022600000,2026-04-01T05:50:00Z,candles,BTC-USDT-SWAP,1m,68449.9,68531.2,68449.9,68525.5,7225.29,72.2529,4949876.72649
1775022660000,2026-04-01T05:51:00Z,candles,BTC-USDT-SWAP,1m,68525.4,68530.4,68490,68490,2328.32,23.2832,1594969.85788
1775022720000,2026-04-01T05:52:00Z,candles,BTC-USDT-SWAP,1m,68490.1,68511.5,68484.9,68508.6,3082.43,30.8243,2111324.42766
1775022780000,2026-04-01T05:53:00Z,candles,BTC-USDT-SWAP,1m,68508.7,68533.3,68504.7,68510,5699.23,56.9923,3905079.75045
1775022840000,2026-04-01T05:54:00Z,candles,BTC-USDT-SWAP,1m,68510,68510,68468.9,68487.2,6075.39,60.7539,4161076.8645
1775022900000,2026-04-01T05:55:00Z,candles,BTC-USDT-SWAP,1m,68487.1,68493.6,68449.9,68455.8,1360.47,13.6047,931467.67922
1775022960000,2026-04-01T05:56:00Z,candles,BTC-USDT-SWAP,1m,68455.9,68460,68428,68428,1563.35,15.6335,1069912.42398
1775023020000,2026-04-01T05:57:00Z,candles,BTC-USDT-SWAP,1m,68428,68443.3,68415.9,68421.9,1612.02,16.1202,1102976.87481
1775023080000,2026-04-01T05:58:00Z,candles,BTC-USDT-SWAP,1m,68422,68439.8,68421.9,68422.7,8407.17,84.0717,5752799.42295
1775023140000,2026-04-01T05:59:00Z,candles,BTC-USDT-SWAP,1m,68422.7,68436.3,68422.6,68424.8,1845.37,18.4537,1262823.62641
1775023200000,2026-04-01T06:00:00Z,candles,BTC-USDT-SWAP,1m,68424.7,68462.4,68424.7,68460.9,4659.56,46.5956,3188863.65186
1775023260000,2026-04-01T06:01:00Z,candles,BTC-USDT-SWAP,1m,68460.9,68516.7,68460.8,68511.5,4369.71,43.6971,2992657.92935
1775023320000,2026-04-01T06:02:00Z,candles,BTC-USDT-SWAP,1m,68511.5,68514.3,68467.7,68467.7,3259.07,32.5907,2232626.54656
1775023380000,2026-04-01T06:03:00Z,candles,BTC-USDT-SWAP,1m,68467.8,68480.6,68447.6,68480.5,1695.65,16.9565,1160840.05409
1775023440000,2026-04-01T06:04:00Z,candles,BTC-USDT-SWAP,1m,68480.5,68480.6,68444.4,68463.8,2667.32,26.6732,1826314.67353
1775023500000,2026-04-01T06:05:00Z,candles,BTC-USDT-SWAP,1m,68463.9,68519.9,68459,68505,8334.85,83.3485,5709133.44268
1775023560000,2026-04-01T06:06:00Z,candles,BTC-USDT-SWAP,1m,68504.9,68531.5,68504.9,68521.2,2636.88,26.3688,1806728.38918
1775023620000,2026-04-01T06:07:00Z,candles,BTC-USDT-SWAP,1m,68521.3,68550,68516.9,68543.6,4654.77,46.5477,3190538.481
1775023680000,2026-04-01T06:08:00Z,candles,BTC-USDT-SWAP,1m,68543.6,68611,68540.4,68610.8,6305.93,63.0593,4324704.29113
1775023740000,2026-04-01T06:09:00Z,candles,BTC-USDT-SWAP,1m,68610.9,68659.2,68570,68591.7,7798.35,77.9835,5351229.18994
1775023800000,2026-04-01T06:10:00Z,candles,BTC-USDT-SWAP,1m,68592,68649.9,68591.5,68613.9,7482.8,74.828,5135286.15759
1775023860000,2026-04-01T06:11:00Z,candles,BTC-USDT-SWAP,1m,68613.9,68651.3,68608,68612.3,8530.98,85.3098,5854468.78273
1775023920000,2026-04-01T06:12:00Z,candles,BTC-USDT-SWAP,1m,68612.2,68677,68600,68639.9,5417.59,54.1759,3718517.74512
1775023980000,2026-04-01T06:13:00Z,candles,BTC-USDT-SWAP,1m,68640,68645,68603.4,68608.9,3308.94,33.0894,2270798.73013
1775024040000,2026-04-01T06:14:00Z,candles,BTC-USDT-SWAP,1m,68608.9,68620,68595.4,68620,2901.68,29.0168,1990719.17731
1775024100000,2026-04-01T06:15:00Z,candles,BTC-USDT-SWAP,1m,68620,68666,68609.4,68639.1,6158.76,61.5876,4226955.32872
1775024160000,2026-04-01T06:16:00Z,candles,BTC-USDT-SWAP,1m,68639.2,68639.2,68621,68621,3510.28,35.1028,2409032.40008
1775024220000,2026-04-01T06:17:00Z,candles,BTC-USDT-SWAP,1m,68621.1,68636.7,68574.4,68629.9,5809.59,58.0959,3985348.63244
1775024280000,2026-04-01T06:18:00Z,candles,BTC-USDT-SWAP,1m,68629.9,68676.8,68627.4,68658.2,4272.95,42.7295,2933587.73929
1775024340000,2026-04-01T06:19:00Z,candles,BTC-USDT-SWAP,1m,68658.1,68769.1,68650,68764.9,19335.99,193.3599,13284776.02868
1775024400000,2026-04-01T06:20:00Z,candles,BTC-USDT-SWAP,1m,68765,68789,68744.5,68758.2,33246.31,332.4631,22864240.78813
1775024460000,2026-04-01T06:21:00Z,candles,BTC-USDT-SWAP,1m,68758.3,68786.4,68746,68767.7,6201.47,62.0147,4264175.48205
1775024520000,2026-04-01T06:22:00Z,candles,BTC-USDT-SWAP,1m,68767.7,68827.9,68726.6,68735.5,25886.02,258.8602,17805730.33989
1775024580000,2026-04-01T06:23:00Z,candles,BTC-USDT-SWAP,1m,68735.4,68824,68712.2,68808.6,14145.2,141.452,9728151.54451
