ts,iso_time,dataset,instrument_id,bar,open,high,low,close,volume_contracts,volume_base,volume_quote
1774981140000,2026-03-31T18:19:00Z,candles,BTC-USDT-SWAP,1m,67769.8,67769.8,67700,67720.2,7437.28,74.3728,5037209.03043
1774981200000,2026-03-31T18:20:00Z,candles,BTC-USDT-SWAP,1m,67720.2,67725,67686.5,67704.7,4676.3,46.763,3166096.7651
1774981260000,2026-03-31T18:21:00Z,candles,BTC-USDT-SWAP,1m,67704.8,67770.3,67704.7,67755.8,3717.04,37.1704,2518422.10028
1774981320000,2026-03-31T18:22:00Z,candles,BTC-USDT-SWAP,1m,67755.8,67759.4,67711,67734.7,2018.57,20.1857,1367179.30658
1774981380000,2026-03-31T18:23:00Z,candles,BTC-USDT-SWAP,1m,67734.8,67736,67710.9,67723.3,1938.15,19.3815,1312635.96839
1774981440000,2026-03-31T18:24:00Z,candles,BTC-USDT-SWAP,1m,67723.4,67735.9,67686.4,67699.9,3344.33,33.4433,2264197.24454
1774981500000,2026-03-31T18:25:00Z,candles,BTC-USDT-SWAP,1m,67700,67722.9,67641.7,67665.2,8687.82,86.8782,5879295.1548
1774981560000,2026-03-31T18:26:00Z,candles,BTC-USDT-SWAP,1m,67665.3,67669.7,67603.7,67639.3,8198.3,81.983,5543914.79454
1774981620000,2026-03-31T18:27:00Z,candles,BTC-USDT-SWAP,1m,67639.3,67675,67625.1,67674.9,1794.21,17.9421,1213667.89042
1774981680000,2026-03-31T18:28:00Z,candles,BTC-USDT-SWAP,1m,67674.9,67795,67674.9,67718.1,6729.1,67.291,4559180.77438
1774981740000,2026-03-31T18:29:00Z,candles,BTC-USDT-SWAP,1m,67718.1,67758.2,67714.8,67752.9,977.7,9.777,662348.80646
1774981800000,2026-03-31T18:30:00Z,candles,BTC-USDT-SWAP,1m,67752.9,67809.9,67700.6,67724,7489.13,74.8913,5073290.88376
1774981860000,2026-03-31T18:31:00Z,candles,BTC-USDT-SWAP,1m,67723.9,67736.4,67668,67668,7197.83,71.9783,4872615.67097
1774981920000,2026-03-31T18:32:00Z,candles,BTC-USDT-SWAP,1m,67668,67677.7,67601.1,67619,10149.46,101.4946,6865834.0286
1774981980000,2026-03-31T18:33:00Z,candles,BTC-USDT-SWAP,1m,67619,67717.7,67618.8,67717.7,10729.15,107.2915,7257400.43268
1774982040000,2026-03-31T18:34:00Z,candles,BTC-USDT-SWAP,1m,67717.6,67735.1,67713.3,67722.7,3765.66,37.6566,2550277.80792
1774982100000,2026-03-31T18:35:00Z,candles,BTC-USDT-SWAP,1m,67722.8,67727.2,67660.2,67727.2,15502.09,155.0209,10492906.90459
1774982160000,2026-03-31T18:36:00Z,candles,BTC-USDT-SWAP,1m,67727.2,67790.1,67719.7,67734,4134.91,41.3491,2802147.16124
1774982220000,2026-03-31T18:37:00Z,candles,BTC-USDT-SWAP,1m,67734,67800,67732.2,67790.5,7268.22,72.6822,4924288.94027
1774982280000,2026-03-31T18:38:00Z,candles,BTC-USDT-SWAP,1m,67790.4,67858,67790.4,67832.5,5771.29,57.7129,3914313.4494
1774982340000,2026-03-31T18:39:00Z,candles,BTC-USDT-SWAP,1m,67832.6,67832.6,67800,67800.1,2494.78,24.9478,1691619.10558
1774982400000,2026-03-31T18:40:00Z,candles,BTC-USDT-SWAP,1m,67800,67800,67716,67734.8,4882.48,48.8248,3307698.48786
1774982460000,2026-03-31T18:41:00Z,candles,BTC-USDT-SWAP,1m,67734.8,67738.1,67678.4,67691.8,2145.65,21.4565,1452599.76126
1774982520000,2026-03-31T18:42:00Z,candles,BTC-USDT-SWAP,1m,67691.8,67770,67691.8,67764.5,3685.86,36.8586,2496429.82876
1774982580000,2026-03-31T18:43:00Z,candles,BTC-USDT-SWAP,1m,67764.6,67782.3,67745,67776.9,3949.37,39.4937,2676470.06577
1774982640000,2026-03-31T18:44:00Z,candles,BTC-USDT-SWAP,1m,67776.9,67790.6,67753.2,67790.6,1504.42,15.0442,1019679.4218
1774982700000,2026-03-31T18:45:00Z,candles,BTC-USDT-SWAP,1m,67790.6,67845.1,67789.3,67833.9,5247.77,52.4777,3558236.68898
